type,beds,baths,garage,lot_sqft,sqft,stories,listPrice,age_range
single_family,4.0,3.0,2.0,3750.0,2154.0,2.0,389000.0,100 - 134
single_family,3.0,2.0,3.0,5837.0,2090.0,2.0,495000.0,67 - 100
single_family,6.0,6.0,2.0,4500.0,6400.0,3.0,3495000.0,0 - 33
single_family,6.0,5.0,2.0,30056.0,5400.0,3.0,899000.0,100 - 134
single_family,5.0,5.0,2.0,9380.0,3260.0,3.0,450000.0,100 - 134
single_family,4.0,3.0,2.0,4410.0,3549.0,2.0,650000.0,100 - 134
single_family,3.0,2.0,2.0,2500.0,1900.0,2.0,340000.0,33 - 67
single_family,4.0,4.0,2.0,7188.0,1550.0,3.0,1850000.0,100 - 134
condos,2.0,3.0,1.0,3751.0,2400.0,3.0,280500.0,0 - 33
single_family,6.0,5.0,3.0,3907.0,5000.0,2.0,2649900.0,0 - 33
single_family,5.0,4.0,2.0,3125.0,4000.0,3.0,750000.0,100 - 134
single_family,3.0,2.0,2.0,3751.0,3514.0,2.0,520000.0,67 - 100
single_family,3.0,2.0,2.0,4000.0,2000.0,2.0,415000.0,100 - 134
townhomes,3.0,2.0,2.0,3751.0,1592.0,2.0,90000.0,67 - 100
single_family,4.0,2.0,2.0,7250.0,1550.0,3.0,1050000.0,100 - 134
single_family,3.0,4.0,2.0,3123.0,3222.0,2.0,950000.0,100 - 134
single_family,3.0,2.0,2.0,4720.0,1944.0,2.0,595000.0,67 - 100
condos,2.0,1.0,2.0,3751.0,1550.0,3.0,385000.0,67 - 100
single_family,6.0,3.0,2.0,5160.0,2409.0,2.0,679000.0,100 - 134
multi_family,4.0,2.0,1.0,37897.0,1550.0,2.0,275000.0,100 - 134
single_family,3.0,3.0,2.0,3125.0,2222.0,2.0,567000.0,33 - 67
condos,1.0,1.0,1.0,3751.0,1550.0,3.0,169900.0,0 - 33
single_family,5.0,3.0,2.0,3751.0,4000.0,2.0,774900.0,67 - 100
townhomes,2.0,1.0,1.0,2858.0,1017.0,2.0,179900.0,67 - 100
single_family,6.0,7.0,2.0,2574.0,8000.0,3.0,2999999.0,100 - 134
single_family,3.0,2.0,2.0,3125.0,1550.0,1.0,350000.0,134 - 168
single_family,6.0,8.0,3.0,3690.0,6200.0,3.0,2695000.0,0 - 33
single_family,3.0,2.0,2.0,3751.0,1425.0,2.0,259900.0,100 - 134
single_family,4.0,4.0,2.0,3459.0,1550.0,2.0,765000.0,0 - 33
condos,3.0,3.0,1.0,3751.0,3000.0,17.0,520000.0,67 - 100
single_family,6.0,4.0,3.0,4125.0,4611.0,2.0,1895000.0,0 - 33
single_family,2.0,2.0,2.0,4792.0,1974.0,1.0,469000.0,67 - 100
single_family,4.0,3.0,2.0,5625.0,1943.0,2.0,649500.0,67 - 100
single_family,4.0,4.0,2.0,3720.0,1218.0,2.0,250000.0,100 - 134
single_family,4.0,4.0,2.0,7560.0,3000.0,2.0,650000.0,67 - 100
single_family,3.0,3.0,2.0,3751.0,1575.0,1.0,309900.0,67 - 100
condos,2.0,2.0,2.0,3751.0,1600.0,26.0,350000.0,67 - 100
single_family,4.0,3.0,4.0,8712.0,3712.0,3.0,1399000.0,100 - 134
multi_family,6.0,2.0,2.0,3751.0,1550.0,2.0,265000.0,67 - 100
single_family,5.0,4.0,2.0,3999.0,1124.0,2.0,99900.0,100 - 134
single_family,4.0,3.0,2.0,3250.0,1400.0,2.0,249900.0,100 - 134
condos,1.0,1.0,2.0,3751.0,1000.0,3.0,112100.0,33 - 67
single_family,3.0,1.0,2.0,6500.0,1250.0,1.0,239900.0,33 - 67
townhomes,3.0,3.0,2.0,3751.0,1550.0,4.0,273000.0,0 - 33
single_family,3.0,2.0,2.0,3751.0,1580.0,2.0,199999.0,67 - 100
single_family,3.0,2.0,2.0,6000.0,1032.0,1.0,230000.0,33 - 67
single_family,4.0,3.0,2.0,8950.0,1176.0,2.0,455000.0,100 - 134
single_family,2.0,2.0,2.0,3684.0,1280.0,2.0,359000.0,100 - 134
single_family,3.0,2.0,2.0,4250.0,1490.0,2.0,308900.0,67 - 100
single_family,4.0,4.0,2.0,3125.0,1550.0,2.0,1250000.0,0 - 33
single_family,3.0,2.0,3.0,3751.0,1341.0,1.0,229900.0,67 - 100
single_family,4.0,4.0,2.0,3000.0,3600.0,2.0,1399000.0,33 - 67
single_family,3.0,1.0,2.0,3125.0,1232.0,1.0,59900.0,100 - 134
single_family,3.0,1.0,2.0,2156000.0,1170.0,2.0,264900.0,33 - 67
single_family,4.0,3.0,1.0,3125.0,2563.0,3.0,549987.0,100 - 134
townhomes,3.0,3.0,1.0,630.0,2150.0,3.0,719000.0,0 - 33
single_family,3.0,2.0,3.0,6199.0,2150.0,2.0,799999.0,67 - 100
single_family,3.0,1.0,2.0,3750.0,1748.0,2.0,344900.0,100 - 134
